k,metric,n_queries,unrestricted_mean,authorization_first_mean,paired_difference,bootstrap_ci_low,bootstrap_ci_high
3,precision,370,0.1216216216216216,0.1216216216216216,0.0,0.0,0.0
3,recall,370,0.20995163995163996,0.20995163995163996,0.0,0.0,0.0
3,mrr,370,0.28783783783783784,0.28783783783783784,0.0,0.0,0.0
3,unauthorized_rate,370,0.06396396396396396,0.0,-0.06396396396396396,-0.07927927927927927,-0.04954954954954954
5,precision,370,0.0816216216216216,0.0816216216216216,0.0,0.0,0.0
5,recall,370,0.22453511953511954,0.22453511953511954,0.0,0.0,0.0
5,mrr,370,0.2918918918918919,0.2918918918918919,0.0,0.0,0.0
5,unauthorized_rate,370,0.08648648648648649,0.0,-0.08648648648648649,-0.10324324324324326,-0.07081081081081081
7,precision,370,0.06370656370656368,0.06409266409266406,0.0003861003861003862,0.0,0.0011583011583011587
7,recall,370,0.2397890097890098,0.2406899106899107,0.0009009009009009008,0.0,0.002702702702702703
7,mrr,370,0.2943371943371943,0.29440154440154437,6.435006435006435e-05,0.0,0.00019305019305019305
7,unauthorized_rate,370,0.11003861003861003,0.0,-0.11003861003861003,-0.12702702702702698,-0.09459459459459456
10,precision,370,0.047567567567567574,0.05,0.0024324324324324323,0.0010810810810810809,0.004054054054054054
10,recall,370,0.25725420225420226,0.27076771576771574,0.013513513513513514,0.0045045045045045045,0.024324324324324326
10,mrr,370,0.2967320892320892,0.29803517803517804,0.0013030888030888031,0.0003303303303303303,0.002565529815529814
10,unauthorized_rate,370,0.11459459459459459,0.0,-0.11459459459459459,-0.12918918918918917,-0.1
